丆	⿱一丿
𰊧	⿰土⿱直木
𰊨	⿰土閑
𰊩	⿱⿰𠱸口土
𰊪	⿳吅臣土
𰊫	⿰土筆
𰊬	⿰土翕
𰊭	⿺辶⿰斤坚
𰊮	⿰土畬
𰊯	⿱復土
𰊰	⿱𭎌豆
𰊱	⿰土就
𰊲	⿱⿰⿱由方攵土
𰊳	⿺堯夭
𰊴	⿰雷土
𰊵	⿱堆立
𰊶	⿱萬土
𰊷	⿰土黽
𰊸	⿰土廈
𰊹	⿰土碩
𰊺	⿰土嘗
𰊻	⿰土賣
𰊼	⿰土膚
𰊽	⿱𱿒土
𰊾	⿰土𡼡
𰊿	⿱𢿐土
𰋀	⿰土畿
𰋁	⿱⿰戞斗土
𰋂	⿰土⿳艹⿱丶𠫔⿱王収
𰋃	⿰土燮
𰋄	⿰土翼
𰋅	⿰土簿
𰋆	⿰土黨
𰋇	⿺堯榮
𰋈	⿱士㓀
𰋉	⿱壵一
𰋊	⿰百壳
𰋋	⿰壴冬
𰋌	⿰声巠
𰋍	⿰⿱⿱士冖几聖
𰋎	⿱夂豕
𰋏	⿱⿹勹⿱一吕夊
𰋐	⿰多九
𰋑	⿰多共
𰋒	⿰多𪵩
𰋓	⿰多足
𰋔	⿰多⿱圥土
𰋕	⿰多宗
𰋖	⿰娄多
𰋗	⿰梦乐
𰋘	⿰密多
𰋙	⿻𠀃人
𰋚	⿰工大
𰋛	⿱大长
𰋜	⿻大⿰㐅㐅
𰋝	⿱巨大
𰋞	⿱大正
𰋟	⿱天天
𰋠	⿱𡗗屯
𰋡	⿱天犯
𰋢	⿰大男
𰋣	⿰失失
𰋤	⿺𡗱攴
𰋥	⿱𥝢大
𰋦	⿰夾及
𰋧	⿱炏大
𰋨	⿱珀大
𰋩	⿱𭑈天
𰋪	⿱天拉
𰋫	⿱独大
𰋬	⿰谷头
𰋭	⿱天星
𰋮	⿱天乹
𰋯	⿱天旁
𰋰	⿰头則
𰋱	⿰荅头
𰋲	⿺𡗱屏
𰋳	⿱大叠
𰋴	⿰奚奚
𰋵	⿺女丶
𰋶	⿰女力
𰋷	⿱𭕄女
𰋸	⿰女𠃓
𰋹	⿰女专
𰋺	⿰女火
𰋻	⿰女𠃜
𰋼	⿰女叐
𰋽	⿸厌女
𰋾	⿰女毕
𰋿	⿰女百
𰌀	⿱𫇦女
𰌁	⿰女𡵂
𰌂	⿰女贞
𰌃	⿰女企
𰌄	⿰女达
𰌅	⿱把女
𰌆	⿱斩女
𰌇	⿰女责
𰌈	⿰女直
𰌉	⿰女黾
𰌊	⿰女兓
𰌋	⿰女門
𰌌	⿰壴女
𰌍	⿰女羍
𰌎	⿰女胎
𰌏	⿰女骨
𰌐	⿰女草
𰌑	⿱哺女
𰌒	⿰女恖
𰌓	⿱奶闹
𰌔	⿰女料
𰌕	⿰娄巨
𰌖	⿰女寍
𰌗	⿰好美
𰌘	⿱鼓女
𰌙	⿰女赖
𰌚	⿱𢾕女
𰌛	⿰女鼄
𰌜	⿰子才
𰌝	⿰子乇
𰌞	⿳二八子
𰌟	⿰子云
𰌠	⿱子止
𰌡	⿰子攴
𰌢	⿰子丑
𰌣	⿰子矢
𰌤	⿰子令
𰌥	⿰子宁
𰌦	⿰子亚
𰌧	⿰子而
𰌨	⿰子肖
𰌩	⿱來子
𰌪	⿰子其
𰌫	⿰子奈
𰌬	⿰子冒
𰌭	⿰子彦
𰌮	⿰山孫
𰌯	⿰子累
𰌰	⿰官学
𰌱	⿱㞌𡥷
𰌲	⿰孝道
𰌳	⿱宀巜
𰌴	⿱宀三
𰌵	⿱宀叉
𰌶	⿱宀不
𰌷	⿱宀为
𰌸	⿱宀尹
𰌹	⿱宀卉
𰌺	⿱宀叩
𰌻	⿱宀在
𰌼	⿱宀百
𰌽	⿱宀如
𰌾	⿱𡧊止
𰌿	⿱宀巠
𰍀	⿱宀住
𰍁	⿺完牛
𰍂	⿱宀杸
𰍃	⿱宀卹
𰍄	⿱宀阜
𰍅	⿱宀屈
𰍆	⿳宀⿱一𡭔⿻冄丨
𰍇	⿱宀某
𰍈	⿱宀祋
𰍉	⿱𡨄了
𰍊	⿱宀若
𰍋	⿱宀怱
𰍌	⿱宀洪
𰍍	⿱宀恰
𰍎	⿰𰀈定
𰍏	⿱宀原
𰍐	⿱𡨄彡
𰍑	⿺完杀
𰍒	⿱𰌼木
𰍓	⿱宀眔
𰍔	⿱宀羔
𰍕	⿱宀⿰衤攴
𰍖	⿱宀𢚘
𰍗	⿳宀羽木
𰍘	⿱宀𣶃
𰍙	⿱宀⿰衤𪠲
𰍚	⿰安罗
𰍛	⿺克官
𰍜	⿱宀集
𰍝	⿰𡧱孝
𰍞	⿱宀⿰禹攵
𰍟	⿱宀艁
𰍠	⿱安淸
𰍡	⿰寧六
𰍢	⿰容容
𰍣	⿰臂宅
𰍤	⿰𦚏寬
𰍥	⿰𧈧寺
𰍦	⿰寻某
𰍧	⿰㇒亅
𰍨	⿰亅丶
𰍩	⿱𡭔人
𰍪	⿱止小
𰍫	⿱𡭔衣
𰍬	⿰意少
𰍭	⿰兀生
𰍮	⿺尢安
𰍯	⿰早尤
𰍰	⿸尸一
𰍱	⿸尸专
𰍲	⿸尸六
𰍳	⿸尸⿹𠃌火
𰍴	⿰尿乙
𰍵	⿰只尺
𰍶	⿸尸行
𰍷	⿸尸㐫
𰍸	⿸尸技
𰍹	⿸尸車
𰍺	⿺尾大
𰍻	⿸尸坔
𰍼	⿺尼夺
𰍽	⿸尸抦
𰍾	⿸尸㟀
𰍿	⿸尸𠚏
𰎀	⿰尺审
𰎁	⿸尸粍
𰎂	⿰尿尾
𰎃	⿰屋多
𰎄	⿺尾來
𰎅	⿺尾昌
𰎆	⿸尸微
𰎇	⿰善尾
𰎈	⿳屮⿻双人个
𰎉	⿱山弓
𰎊	⿱切山
𰎋	⿱山⺝
𰎌	⿰山从
𰎍	⿰山允
𰎎	⿱山龙
𰎏	⿰山东
𰎐	⿰山卢
𰎑	⿱山业
𰎒	⿱山白
𰎓	⿱山幼
𰎔	⿱山尧
𰎕	⿰丁岜
𰎖	⿱山则
𰎗	⿱山刖
𰎘	⿱山⿷⿸⿻口丿乚丶
𰎙	⿱山伋
𰎚	⿰后山
𰎛	⿰山会
𰎜	⿱山交
𰎝	⿰山军
𰎞	⿰山农
𰎟	⿱山夾
𰎠	⿱山严
𰎡	⿱山㺯
𰎢	⿰山围
𰎣	⿱⿰戶弋山
𰎤	⿱山𢗑
𰎥	⿰山坴
𰎦	⿱山欧
𰎧	⿱阜山
𰎨	⿱⿰禾丸山
𰎩	⿱山厚
𰎪	⿰山⿱支目
𰎫	⿱山狱
𰎬	⿱拜山
𰎭	⿱山亮
𰎮	⿱山𢙣
𰎯	⿱𡹐乃
𰎰	⿰山屑
𰎱	⿰山崩
𰎲	⿰山將
𰎳	⿰山堂
𰎴	⿰⿱山尸麦
𰎵	⿰山㖾
𰎶	⿱山㖾
𰎷	⿱山𱂥
𰎸	⿰山善
𰎹	⿱山献
𰎺	⿰山感
𰎻	⿳山一⿵戊⿱土正
𰎼	⿱山歐
𰎽	⿱屾愕
𰎾	⿰山徵
𰎿	⿱屾嗟
𰏀	⿰山餐
𰏁	⿰山赞
𰏂	⿰山巖
𰏃	⿰川亘
𰏄	⿱巛早
𰏅	⿰巠孚
𰏆	⿳甾冖用
𰏇	⿰左乙
𰏈	⿰工戈
𰏉	⿱巧九
𰏊	⿰工厷
𰏋	⿰工右
𰏌	⿰左西
𰏍	⿰左崖
𰏎	⿰差争
𰏏	⿰君巳
𰏐	⿱林己
𰏑	⿰刀巾
𰏒	⿰巾巾
𰏓	⿰巾乌
𰏔	⿰巾亢
𰏕	⿰巾戋
𰏖	⿰巾乏
𰏗	⿱巾𰏒
𰏘	⿱八⿻⿵冂⿰𰀪⿱㇏㇏丨
𰏙	⿰𠂤巿
𰏚	⿰带才
𰏛	⿰帀甾
𰏜	⿰巾娄
𰏝	⿰帛外
𰏞	⿱⿰幸丸巾
𰏟	⿰巾阑
𰏠	⿰巾楚
𰏡	⿰布憑
𰏢	⿰干山
𰏣	⿰丁平
𰏤	⿱从开
𰏥	⿰介年
𰏦	⿰平平
𰏧	⿰卢年
𰏨	⿰平乒
𰏩	⿰壴干
𰏪	⿱枯干
𰏫	⿰年合
𰏬	⿱品平
𰏭	⿰虚干
𰏮	⿰幸匊
𰏯	⿱幺儿
𰏰	⿰幺⿹𠃌一
𰏱	⿰𠂈⿱幺王
𰏲	⿸广马
𰏳	⿸广申
𰏴	⿸广𢆉
𰏵	⿰光广
𰏶	⿸广会
𰏷	⿸广𣏈
𰏸	⿸广囬
𰏹	⿸广奉
𰏺	⿸广知
𰏻	⿸广波
𰏼	⿸广带
𰏽	⿸广⿱夹土
𰏾	⿸广殷
𰏿	⿸广連
𰐀	⿸广𧙍
𰐁	⿸广朗
𰐂	⿰度多
𰐃	⿸广⿱⿻土从皿
𰐄	⿰度近
𰐅	⿰廋本
𰐆	⿸廌癸
𰐇	⿱上廾
𰐈	⿱女廾
𰐉	⿱比廾
𰐊	⿱列开
𰐋	⿰回开
𰐌	⿱棥廾
𰐍	⿰甲弋
𰐎	⿹弋旱
𰐏	⿹弋角
𰐐	⿹弋言
𰐑	⿹弋習
𰐒	⿹弋㫺
𰐓	⿰弓𠮡
𰐔	⿰弓旦
𰐕	⿱比弗
𰐖	⿱弗牙
𰐗	⿰弓甫
𰐘	⿰弓⿱𠮡力
𰐙	⿰弓武
𰐚	⿰弓鱼
𰐛	⿰弓𦍑
𰐜	⿰弓耑
𰐝	⿰弗甫
𰐞	⿰弓亰
𰐟	⿰弓莫
𰐠	⿺元弹
𰐡	⿰弯貨
𰐢	⿺逵弯
𰐣	⿱𫜹拉
𰐤	⿱甡⺕
𰐥	⿱彐粉
𰐦	⿰牜彡
𰐧	⿰立彡
𰐨	⿰并彡
𰐩	⿰豸彡
𰐪	⿰吝彡
𰐫	⿰娄彡
𰐬	⿰彳川
𰐭	⿰彳白
𰐮	⿰彳𥃭
𰐯	⿰彳呆
𰐰	⿰彳？
𰐱	⿰彳叔
𰐲	⿰彳昏
𰐳	⿰彳⿱刀羊
𰐴	⿰彳致
𰐵	⿰彳咼
𰐶	⿰彳⿳幺夊止
𰐷	⿰彳曼
𰐸	⿰彳⿳日𢆶土
𰐹	⿰彳⿳尗田壬
𰐺	⿱乙心
𰐻	⿱几心
𰐼	⿱人心
𰐽	⿱凡心
𰐾	⿰忄广
𰐿	⿰忄𠃓
𰑀	⿳又亅心
𰑁	⿰忄专
𰑂	⿰忄冈
𰑃	⿰忄日
𰑄	⿰忄仑
𰑅	⿰忄从
𰑆	⿱牛心
𰑇	⿰必于
𰑈	⿱巴心
𰑉	⿱⿶凵又心
𰑊	⿰忄𰀈
𰑋	⿱巨心
𰑌	⿰忄𰋙
𰑍	⿰忄另
𰑎	⿱入志
𰑏	⿰忄它
𰑐	⿰忄兰
𰑑	⿳丷𫜹心
𰑒	⿱必心
𰑓	⿱𣫬心
𰑔	⿱执心
𰑕	⿸厌心
𰑖	⿰忄年
𰑗	⿰必史
𰑘	⿰忄羊
𰑙	⿰忄刘
𰑚	⿰忄守
𰑛	⿰忄㡯
𰑜	⿱成心
𰑝	⿰忄𰅴
𰑞	⿰忄𫹯
𰑟	⿱贡心
𰑠	⿰忄呆
𰑡	⿱坚心
𰑢	⿱身心
𰑣	⿱告心
𰑤	⿰忄宏
𰑥	⿰忄𫔮
𰑦	⿰忄应
𰑧	⿱斩心
𰑨	⿱玩心
𰑩	⿱松心
𰑪	⿰忄黾
𰑫	⿰忄罗
𰑬	⿰忄质
𰑭	⿱⿰氏攵心
𰑮	⿰忄放
𰑯	⿰忄⿱厶𠇍
𰑰	⿰忄勃
𰑱	⿰忄厚
𰑲	⿱𱖤心
𰑳	⿰忄南
𰑴	⿱⿰亓亓必
𰑵	⿱带心
𰑶	⿱星心
𰑷	⿱勉心
𰑸	⿸广𫺁
𰑹	⿰忄前
𰑺	⿰忄活
𰑻	⿱立忠
𰑼	⿱不𢙣
𰑽	⿰忄⿱𡭔貝
𰑾	⿰忄荔
𰑿	⿰忄党
𰒀	⿰忄馬
𰒁	⿱愁𠃍
𰒂	⿰忄𢘿
𰒃	⿱旂心
𰒄	⿱料心
𰒅	⿰忄雪
𰒆	⿰忄𬜯
𰒇	⿲忄亻⿱左⺝
𰒈	⿰忄郭
𰒉	⿰忄㝡
𰒊	⿱許心
𰒋	⿰忄硬
𰒌	⿱⿰耳兇心
𰒍	⿱⿰⿱⿱士冖口殳心
𰒎	⿰忄集
𰒏	⿰忄欽
𰒐	⿰忄着
𰒑	⿰忄𠔥
𰒒	⿱滞心
𰒓	⿰忄疏
𰒔	⿰忄勣
𰒕	⿰愄戈
𰒖	⿱𬥈心
𰒗	⿰忄兢
𰒘	⿱殸志
𰒙	⿰忄滿
𰒚	⿰意可
𰒛	⿱⿰木殻心
𰒜	⿰恶泉
𰒝	⿱𣗥必
𰒞	⿰忄巤
𰒟	⿰忄𲁌
𰒠	⿰谷愚
𰒡	⿰忄霝
𰒢	⿰忄篾
𰒣	⿳宀𨾴心
𰒤	⿰不戈
𰒥	⿱⿿戈戈
𰒦	⿹戈冬
𰒧	⿹戈⿰夕又
𰒨	⿹⿽戈幺人
𰒩	⿹戈早
𰒪	⿰豆戈
𰒫	⿹戈旾
𰒬	⿰占𭟲
𰒭	⿹戈則
𰒮	⿰戍束
𰒯	⿰⿷匚炎戈
𰒰	⿰啇戈
𰒱	⿰巢戈
𰒲	⿱或或
𰒳	⿰戍奚
𰒴	⿰房风
𰒵	⿰户商
𰒶	⿰房房
𰒷	⿰扌七
𰒸	⿰扌卩
𰒹	⿰扌乜
𰒺	⿰扌刁
𰒻	⿰手了
𰒼	⿰扌三
𰒽	⿰扌万
𰒾	⿱打丁
𰒿	⿰扌匹
𰓀	⿰扌𢆰
𰓁	⿰手比
𰓂	⿰手戈
𰓃	⿰手友
𰓄	⿰扌长
𰓅	⿱氏手
𰓆	⿰扌乌
𰓇	⿰手之
𰓈	⿰手户
𰓉	⿱文手
𰓊	⿰扌办
𰓋	⿰扌𠁣
𰓌	⿰扌𰀉
𰓍	⿰手甘
𰓎	⿰手可
𰓏	⿰手右
𰓐	⿰扌史
𰓑	⿰手甲
𰓒	⿰手电
𰓓	⿰扌屳
𰓔	⿰扌闪
𰓕	⿰扌头
𰓖	⿰手弗
𰓗	⿰扌压
𰓘	⿰扌巩
𰓙	⿸厌手
𰓚	⿰手存
𰓛	⿱划手
𰓜	⿰扌节
𰓝	⿰扌师
𰓞	⿰扌舟
𰓟	⿰扌杂
𰓠	⿰扌伝
𰓡	⿰扌伊
𰓢	⿰扌𰃝
𰓣	⿰扌𰌵
𰓤	⿰扌许
𰓥	⿰扌庅
𰓦	⿰手穵
𰓧	⿰扌孙
𰓨	⿰扌𰗑
𰓩	⿰扌弛
𰓪	⿰手聿
𰓫	⿰扌匣
𰓬	⿰扌丽
𰓭	⿰扌𫹯
𰓮	⿱打末
𰓯	⿰手束
𰓰	⿰手夾
𰓱	⿰扌坚
𰓲	⿱别手
𰓳	⿰扌⿸𠂋帀
𰓴	⿰扌⿹勹玉
𰓵	⿰手夆
𰓶	⿱利手
𰓷	⿰扌闰
𰓸	⿰扌启
𰓹	⿰扌𠦑
𰓺	⿰扌卧
𰓻	⿰扌规
𰓼	⿰扌斩
𰓽	⿰手昔
𰓾	⿰扌𡶩
𰓿	⿰扌些
𰔀	⿰手花
𰔁	⿰扌⿸𠂆尗
𰔂	⿰𢬈刂
𰔃	⿰手法
𰔄	⿱承手
𰔅	⿰手亟
𰔆	⿰扌面
𰔇	⿰扌带
𰔈	⿰扌哉
𰔉	⿰扌⿱龶皿
𰔊	⿰手枼
𰔋	⿰扌贵
𰔌	⿰手若
𰔍	⿺抓占
𰔎	⿰扌⿱夭氺
𰔏	⿰扌⿱穴㕛
𰔐	⿰手為
𰔑	⿰手建
𰔒	⿰扌匪
𰔓	⿰扌破
𰔔	⿰扌烈
𰔕	⿱𣪊手
𰔖	⿰扌适
𰔗	⿰折尖
𰔘	⿰抈羽
𰔙	⿰手般
𰔚	⿰扌冤
𰔛	⿰扌料
𰔜	⿰扌衰
𰔝	⿰扌𭆞
𰔞	⿰扌⿱厶麦
𰔟	⿰手執
𰔠	⿰扌崗
𰔡	⿰扌略
𰔢	⿰扌貧
𰔣	⿰扌貪
𰔤	⿰扌斍
𰔥	⿱独打
𰔦	⿰扌舜
𰔧	⿰扌筑
𰔨	⿰扌𥥽
𰔩	⿰扌⿸广⿱龶皿
𰔪	⿰扌楚
𰔫	⿰扌頓
𰔬	⿰扌𤊽
𰔭	⿰扌勤
𰔮	⿰扌腮
𰔯	⿰扌⿱⿰夕目𡗜
𰔰	⿰手楽
𰔱	⿰扌道
𰔲	⿰扌骞
𰔳	⿰扌奪
𰔴	⿰扌関
𰔵	⿱摇云
𰔶	⿱舆手
𰔷	⿰扌⿸广畢
𰔸	⿰扌慝
𰔹	⿰扌德
𰔺	⿰扌篤
𰔻	⿰扌⿱爫⿵冂⿲幺丨䖝
𰔼	⿰扌⿸𢉖糸
𰔽	⿰手雚
𰔾	⿰拿提
𰔿	⿰手羅
𰕀	⿺支巛
𰕁	⿺支寻
𰕂	⿰支竒
𰕃	⿰丂攴
𰕄	⿰犬攵
𰕅	⿰区攴
𰕆	⿰方攴
𰕇	⿰弁攵
𰕈	⿰乔攵
𰕉	⿰医攴
𰕊	⿰孚攵
𰕋	⿰尙攴
𰕌	⿰隹攵
𰕍	⿱放中
𰕎	⿰育攵
𰕏	⿰𰙠攵
𰕐	⿰⿳⿱⺊冖一贝攴
𰕑	⿰𱒱攵
𰕒	⿰堂攴
𰕓	⿰㣎攵
𰕔	⿰⿱从𡊦攵
𰕕	⿰童攵
𰕖	⿰⿱𦔻壬攵
𰕗	⿰鼎攵
𰕘	⿰膚攴
𰕙	⿰龜攵
𰕚	⿰生文
𰕛	⿱弱文
𰕜	⿰算文
𰕝	⿰午斤
𰕞	⿰斤卞
𰕟	⿰⿸尸市斤
𰕠	⿰𰆄斤
𰕡	⿰⿱幺言斤
𰕢	⿰荳斤
𰕣	⿰單斤
𰕤	⿰⿱𣥜止斤
𰕥	⿰單⿱𠂉斤
𰕦	⿰暮新
𰕧	⿰方弗
𰕨	⿰方兆
𰕩	⿰方肖
𰕪	⿰方孚
𰕫	⿰方良
𰕬	⿰方⿱𠂉早
𰕭	⿰方⿱𠂉会
𰕮	⿰方⿱𠂉𠇦
𰕯	⿱旋小
𰕰	⿰⿰丨丿无
𰕱	⿰日丂
𰕲	⿰⿰丶丿日
𰕳	⿰日孑
𰕴	⿰早七
𰕵	⿰日历
𰕶	⿰日殳
𰕷	⿰日介
𰕸	⿰日正
𰕹	⿰旱力
𰕺	⿰日𰀈
𰕻	⿰日甲
𰕼	⿰日申
𰕽	⿱母日
𰕾	⿱凥日
𰕿	⿱日西
𰖀	⿰早丑
𰖁	⿰日朿
𰖂	⿰日当
𰖃	⿱⿻从人日
𰖄	⿱日印
𰖅	⿰日先
𰖆	⿱丞日
𰖇	⿰日克
𰖈	⿰日严
𰖉	⿰日豆
𰖊	⿰昌丈
𰖋	⿳日夂仌
𰖌	⿰日狂
𰖍	⿰日東
𰖎	⿰日長
𰖏	⿰日连
𰖐	⿰日亞
𰖑	⿰日近
𰖒	⿰日昋
𰖓	⿰日实
𰖔	⿰日沓
𰖕	⿰日孟
𰖖	⿰日㪅
𰖗	⿱⿵𠆢一𫂵
𰖘	⿱⿰氏古日
𰖙	⿰日彥
𰖚	⿰日娄
𰖛	⿰日馬
𰖜	⿰日栽
𰖝	⿰日留
𰖞	⿰星对
𰖟	⿰日浪
𰖠	⿱日难
𰖡	⿰日貮
𰖢	⿰日敖
𰖣	⿰日𦲸
𰖤	⿰日常
𰖥	⿱眼日
𰖦	⿳昍冖号
𰖧	⿰日逢
𰖨	⿰智于
𰖩	⿱日离
𰖪	⿰日啇
𰖫	⿱奉明
𰖬	⿱日敦
𰖭	⿰日着
𰖮	⿰日巽
𰖯	⿰日遀
𰖰	⿺是取
𰖱	⿰日遂
𰖲	⿱僉日
𰖳	⿰星恼
𰖴	⿱慚日
𰖵	⿰日盡
𰖶	⿰日盤
𰖷	⿰暗安
𰖸	⿰日審
𰖹	⿰暑幸
𰖺	⿰日戴
𰖻	⿰日闌
𰖼	⿰日薯
𰖽	⿰日贊
𰖾	⿰日蠢
𰖿	⿱日往
𰗀	⿱𬎿𣄼
𰗁	⿱曲直
𰗂	⿰書青
𰗃	⿰曾魯
𰗄	⿱六⺝
𰗅	⿰月电
𰗆	⿰岁月
𰗇	⿰月⿱夭丁
𰗈	⿰有有
𰗉	⿰月京
𰗊	⿰月𨒙
𰗋	⿰月舀
𰗌	⿰月𠁅
𰗍	⿰月章
𰗎	⿰月莾
𰗏	⿰有堯
𰗐	⿻㐄𠆢
𰗑	⿱又木
𰗒	⿱木又
𰗓	⿰木广
𰗔	⿱牙木
𰗕	⿱𱼀木
𰗖	⿰木仑
𰗗	⿰木仍
𰗘	⿱𰀢木
𰗙	⿰木刍
𰗚	⿰木写
𰗛	⿰木𠬤
𰗜	⿸厌木
𰗝	⿰木𰅰
𰗞	⿱当木
𰗟	⿰木兇
𰗠	⿰木𢁙
𰗡	⿰木产
𰗢	⿰木军
𰗣	⿱𠅃木
𰗤	⿰木宇
𰗥	⿰木边
𰗦	⿰木尽
𰗧	⿱卣木
𰗨	⿰木时
𰗩	⿰果么
𰗪	⿱𠯫木
𰗫	⿰木⿱口丑
𰗬	⿰木迁
𰗭	⿳亠矛木
𰗮	⿰木宋
𰗯	⿰木罕
𰗰	⿲木己木
𰗱	⿰木迏
𰗲	⿰木𠧧
𰗳	⿰果王
𰗴	⿰木往
𰗵	⿰木审
𰗶	⿰木畄
𰗷	⿱穴呆
𰗸	⿰木承
𰗹	⿰木肃
𰗺	⿰木贲
𰗻	⿰木𱙎
𰗼	⿰木星
𰗽	⿰木昱
𰗾	⿰木𪿈
𰗿	⿱衍木
𰘀	⿰木带
𰘁	⿰木洗
𰘂	⿰木类
𰘃	⿲木矛予
𰘄	⿰木陋
𰘅	⿰木络
𰘆	⿰木⿱𪜌子
𰘇	⿱木鬲
𰘈	⿰木𰺅
𰘉	⿰未畏
𰘊	⿰果𠨿
𰘋	⿰果𠂬
𰘌	⿰木釡
𰘍	⿰木倩
𰘎	⿱杵色
𰘏	⿰木𣑱
𰘐	⿰柴文
𰘑	⿱料木
𰘒	⿱欮木
𰘓	⿱𫇦林
𰘔	⿰木祥
𰘕	⿳木𫜹⿹勹⿰䶹又
𰘖	⿰木⿱？氺
𰘗	⿰木敖
𰘘	⿰林忘
𰘙	⿱朽独
𰘚	⿱林来
𰘛	⿰木戝
𰘜	⿰木畧
𰘝	⿰木貧
𰘞	⿰杀查
𰘟	⿰木㣎
𰘠	⿰木阎
𰘡	⿱旋木
𰘢	⿰木㝡
𰘣	⿰木绵
𰘤	⿱尉木
𰘥	⿰木棘
𰘦	⿰未許
𰘧	⿰木喪
𰘨	⿺堯木
𰘩	⿰木萧
𰘪	⿰果房
𰘫	⿰木晴
𰘬	⿰果念
𰘭	⿱歮木
𰘮	⿰木棨
𰘯	⿰木絡
𰘰	⿰木弼
𰘱	⿱弼木
𰘲	⿰木陽
𰘳	⿰木赖
𰘴	⿰木𤊽
𰘵	⿰木⿱⿰土右皿
𰘶	⿰木稣
𰘷	⿰木塞
𰘸	⿰木数
𰘹	⿰木資
𰘺	⿱柱東
𰘻	⿱槽大
𰘼	⿱独条
𰘽	⿰木㬎
𰘾	⿱磊木
𰘿	⿰木曅
𰙀	⿰木閫
𰙁	⿰果莫
𰙂	⿰樂元
𰙃	⿱得果
𰙄	⿱？⿲木夕木
𰙅	⿱臨木
𰙆	⿱林⿴囗𥙊
𰙇	⿲束克束
𰙈	⿱？⿲木古木
𰙉	⿱𣘐𣘐
𰙊	⿰卆欠
𰙋	⿰乌欠
𰙌	⿰囙欠
𰙍	⿰⿱⿱士冖厶欠
𰙎	⿰佥欠
𰙏	⿰炅欠
𰙐	⿰⿳⺊目一欠
𰙑	⿰肃欠
𰙒	⿰⿱上米欠
𰙓	⿰⿱人镸欠
𰙔	⿰𤔄欠
𰙕	⿰娄欠
𰙖	⿰𭍠欠
𰙗	⿰舀欠
𰙘	⿰⿱合𠕁欠
𰙙	⿰⿳𣱵一回欠
𰙚	⿰丁止
𰙛	⿰正丁
𰙜	⿱刃止
𰙝	⿱止王
𰙞	⿱止𡈼
𰙟	⿱及止
𰙠	⿱丙止
𰙡	⿱止它
𰙢	⿱皮止
𰙣	⿰止民
𰙤	⿰正正
𰙥	⿱此反
𰙦	⿹𢦏止
𰙧	⿱吅止
𰙨	⿱⿱𦘒一止
𰙩	⿱𱐔止
𰙪	⿱⿳亠丷冖正
𰙫	⿱止幸
𰙬	⿱來止
𰙭	⿱止隹
𰙮	⿱卑止
𰙯	⿰𣥕戉
𰙰	⿰止食
𰙱	⿱止室
𰙲	⿱帝止
𰙳	⿱降止
𰙴	⿱鬲止
𰙵	⿱止高
𰙶	⿱𡨄正
𰙷	⿱啇止
𰙸	⿰正章
𰙹	⿱止絲
𰙺	⿱⿰舟頁止
𰙻	⿰里歴
𰙼	⿰歹三
𰙽	⿰歹𰅰
𰙾	⿰歹全
𰙿	⿰歹步
𰚀	⿰歹辛
𰚁	⿰歹章
𰚂	⿰歹賴
𰚃	⿰壴殳
𰚄	⿰⿱交小殳
𰚅	⿰軍殳
𰚆	⿰婁殳
𰚇	⿰啇殳
𰚈	⿰壺殳
𰚉	⿰⿳⿱士冖口𠕁殳
𰚊	⿰⿳业䒑𠔍殳
𰚋	⿱㲋丂
𰚌	⿰比度
𰚍	⿺毛门
𰚎	⿺毛比
𰚏	⿰不毛
𰚐	⿺毛厷
𰚑	⿺毛分
𰚒	⿺毛申
𰚓	⿺毛由
𰚔	⿰宁毛
𰚕	⿺毛召
𰚖	⿱共毛
𰚗	⿰并毛
𰚘	⿺毛孛
𰚙	⿺毛来
𰚚	⿺毛何
𰚛	⿺毛寽
𰚜	⿺毛孚
𰚝	⿺毛言
𰚞	⿰靑毛
𰚟	⿺毛㝵
𰚠	⿰宗毛
𰚡	⿺毛卒
𰚢	⿰咅毛
𰚣	⿺毛門
𰚤	⿰垔毛
𰚥	⿱𰨛⿸厂毛
𰚦	⿰娄毛
𰚧	⿺毛馬
𰚨	⿱勑毛
𰚩	⿰⿸辰寸毛
𰚪	⿰监毛
𰚫	⿱高毛
𰚬	⿺毛宾
𰚭	⿰⿱羽夬毛
𰚮	⿰𱳛毛
𰚯	⿰票毛
𰚰	⿱𱡘毛
𰚱	⿰盖毛
𰚲	⿺毛粪
𰚳	⿱𰁜毳
𰚴	⿺毛寧
𰚵	⿰韯毛
𰚶	⿰聶毛
𰚷	⿻己土
𰚸	⿰云民
𰚹	⿱央民
𰚺	⿱䡔氏
𰚻	⿹气匕
𰚼	⿹气云
𰚽	⿹气勿
𰚾	⿹气未
𰚿	⿹气目
𰛀	⿹气吉
𰛁	⿹气𡆬
𰛂	⿹气免
𰛃	⿹氛日
𰛄	⿰㇇亅
𰛅	⿰亅？
𰛆	⿱㇒⿴⿰⿱丶㇀⿱㇒丶亅
𰛇	⿰氵寸
𰛈	⿰氵上
𰛉	⿰氵门
𰛊	⿰氵马
𰛋	⿱水寸
𰛌	⿰氵耂
𰛍	⿰氵友
𰛎	⿰氵夫
𰛏	⿰氵从
𰛐	⿰水欠
𰛑	⿰氵㝉
𰛒	⿰氵东
𰛓	⿰氵𰀈
𰛔	⿰氵冭
𰛕	⿻𣄼水
𰛖	⿱𡗜⿴⿰⿱丶㇀⿱㇒丶亅
𰛗	⿰氵北
𰛘	⿰水史
